id_aluno,id_professor,aulas_bimestre,nota_p1_b1,nota_p2_b1,ativs_entregues_b1,ativs_total_b1,faltas_b1,nota_p1_b2,nota_p2_b2,ativs_entregues_b2,ativs_total_b2,faltas_b2,nota_p1_b3,nota_p2_b3,ativs_entregues_b3,ativs_total_b3,faltas_b3,nota_p1_b4,nota_p2_b4,ativs_entregues_b4,ativs_total_b4,faltas_b4
20240093,P001,60,7.1,5.3,5,10,12,8.3,5.6,9,10,12,5.4,9.3,8,10,7,8.8,9.6,9,10,12
20240094,P001,60,3.6,6.1,5,10,3,8.6,6.7,6,10,3,6.2,8.4,8,10,9,5.4,3.3,8,10,11
20240095,P001,60,5.2,6.2,2,10,18,4.2,8.3,5,10,20,8.8,7.9,6,10,14,7.3,4.8,3,10,19
20240096,P001,60,6.4,6.1,2,10,13,7.9,3.1,4,10,20,4.2,7.9,2,10,18,6.7,7.2,5,10,8
20240097,P001,60,9.6,5.7,7,10,7,4.4,7.6,7,10,12,3.9,3.1,9,10,7,1.5,3.2,7,10,7
20240098,P001,60,7.4,1.4,10,10,1,7.6,7.7,9,10,0,10,9.9,9,10,3,7.1,8.2,9,10,5
20240099,P001,60,2.1,4.3,3,10,16,5.0,4.8,5,10,20,5.0,5.9,5,10,13,7.0,4.7,5,10,17
20240100,P001,60,7.5,8.5,7,10,11,9.0,5.0,5,10,3,0.3,3.9,7,10,6,5.1,7.1,6,10,12
20240101,P001,60,7.8,3.5,6,10,18,6.6,2.2,7,10,9,5.8,7.1,3,10,12,6.1,3.0,3,10,12
20240102,P001,60,6.9,7.4,5,10,10,4.5,6.3,7,10,10,3.1,7.5,5,10,10,9.1,8.9,7,10,9
20240103,P001,60,7.1,3.1,10,10,3,10,6.3,8,10,3,9.8,7.5,8,10,5,8.0,7.5,8,10,1
20240104,P001,60,9.7,5.8,7,10,4,6.8,5.4,6,10,3,3.0,5.8,7,10,11,6.9,8.9,5,10,3
20240105,P001,60,6.4,5.4,8,10,11,9.9,6.5,5,10,6,0.4,7.9,5,10,12,6.3,1.9,5,10,7
20240106,P001,60,4.2,7.2,9,10,10,7.4,7.9,7,10,9,4.4,5.6,5,10,6,7.7,3.3,6,10,9
20240107,P001,60,7.9,9.0,9,10,4,5.3,9.1,6,10,3,9.7,7.6,6,10,10,6.3,5.8,9,10,5
20240108,P001,60,8.4,7.2,7,10,7,6.1,5.0,9,10,4,6.5,5.4,7,10,6,3.2,4.7,8,10,10
20240109,P001,60,8.0,8.4,8,10,3,3.6,6.3,8,10,0,9.4,6.2,9,10,0,6.9,6.0,9,10,4
20240110,P001,60,6.3,8.4,10,10,1,6.6,5.9,9,10,0,6.4,8.1,10,10,5,10,8.5,10,10,1
20240111,P001,60,5.0,6.7,7,10,6,5.4,9.9,5,10,12,5.1,9.7,5,10,11,5.8,8.4,8,10,4
20240112,P001,60,4.5,7.8,6,10,6,5.5,9.0,6,10,7,8.7,7.0,8,10,10,8.7,6.6,8,10,8
20240113,P001,60,0.9,5.6,4,10,20,7.0,6.3,7,10,13,8.9,8.5,6,10,15,0.0,7.1,4,10,10
20240114,P001,60,5.5,10,8,10,5,7.4,6.7,9,10,3,8.0,7.5,10,10,3,7.7,9.7,8,10,3
20240115,P001,60,10,10,8,10,3,10,8.6,9,10,1,6.5,9.0,10,10,1,8.6,7.4,10,10,5
20240116,P001,60,4.9,3.8,4,10,15,8.8,0.4,7,10,10,4.0,3.1,3,10,10,4.1,7.2,2,10,19
20240117,P001,60,9.1,7.0,7,10,11,3.0,9.8,7,10,10,4.9,6.0,8,10,7,10.0,9.0,9,10,5
20240118,P001,60,8.8,2.8,4,10,9,1.1,4.6,6,10,11,6.0,6.1,7,10,18,8.9,5.0,7,10,8
20240119,P001,60,4.7,5.7,7,10,7,7.0,9.1,8,10,10,7.6,8.9,8,10,9,4.2,3.4,9,10,10
20240120,P001,60,4.0,5.8,3,10,14,7.7,6.4,5,10,16,1.4,6.6,2,10,8,3.0,7.1,5,10,12
20240121,P001,60,10,3.8,10,10,4,7.2,7.0,9,10,0,6.8,8.1,8,10,5,6.6,6.8,10,10,2
20240122,P001,60,3.4,8.5,6,10,12,6.7,8.4,7,10,7,8.4,4.2,5,10,5,3.6,7.8,5,10,5
20240123,P001,60,7.9,9.6,10,10,4,9.1,5.2,9,10,0,7.9,4.9,8,10,2,8.5,8.0,9,10,1
20240124,P001,60,3.8,9.9,8,10,3,4.1,9.6,8,10,0,6.1,4.3,8,10,1,7.9,5.6,8,10,2
20240125,P001,60,6.9,3.8,3,10,16,8.4,3.3,6,10,11,8.3,6.8,5,10,13,5.2,5.5,3,10,16
20240126,P001,60,5.6,7.2,5,10,10,5.9,8.4,6,10,10,7.6,9.2,8,10,4,9.4,2.0,8,10,4
20240127,P001,60,7.2,3.8,5,10,12,8.8,3.7,7,10,6,6.7,5.5,8,10,9,6.4,7.5,7,10,9
20240128,P001,60,7.8,5.6,5,10,10,4.0,6.9,5,10,3,8.7,5.1,8,10,5,7.7,6.2,9,10,4
20240129,P001,60,6.6,7.2,6,10,16,1.7,8.9,5,10,14,4.3,7.5,5,10,15,3.2,4.0,6,10,18
20240130,P001,60,6.7,5.8,9,10,10,9.6,7.0,5,10,8,0.1,7.7,5,10,12,8.3,5.9,8,10,8
20240131,P001,60,7.5,8.2,7,10,4,3.3,5.1,9,10,9,5.8,1.4,7,10,3,5.8,8.6,6,10,4
20240132,P001,60,6.5,6.2,8,10,8,6.3,9.1,6,10,11,5.1,9.4,9,10,6,7.2,7.2,7,10,8
20240133,P001,60,9.2,7.4,9,10,2,8.6,6.7,8,10,4,10,6.6,9,10,5,7.7,10,10,10,5
20240134,P001,60,7.2,7.8,9,10,3,10,9.5,9,10,1,8.0,6.6,9,10,2,7.7,7.6,9,10,0
20240135,P001,60,4.9,5.8,2,10,8,4.2,3.7,5,10,9,8.5,1.8,7,10,16,7.5,8.6,4,10,9
20240136,P001,60,7.8,7.5,6,10,9,3.4,9.4,9,10,7,4.1,7.2,8,10,11,5.5,6.6,7,10,5
20240137,P001,60,5.6,8.8,5,10,3,8.6,6.1,7,10,7,9.7,5.5,8,10,10,2.9,9.9,5,10,7
20240138,P001,60,6.7,8.4,7,10,20,3.7,8.8,4,10,14,7.6,7.6,5,10,13,8.1,7.3,3,10,18
20240139,P001,60,7.3,6.3,9,10,8,3.3,6.9,9,10,5,8.6,6.0,7,10,5,4.2,5.6,8,10,4
20240140,P001,60,5.8,8.1,5,10,3,9.6,8.8,6,10,10,6.7,1.9,7,10,12,4.9,4.1,9,10,3
20240141,P001,60,9.5,7.2,6,10,6,9.8,6.5,6,10,9,5.4,6.6,8,10,6,4.6,2.9,9,10,6
20240142,P001,60,6.2,7.2,6,10,10,10.0,5.4,8,10,9,7.5,3.1,6,10,8,5.7,8.3,5,10,12
20240143,P001,60,6.4,10,10,10,0,4.3,6.3,10,10,5,6.5,8.5,10,10,2,7.2,10,9,10,4
20240144,P001,60,4.5,6.9,8,10,11,3.3,5.1,6,10,7,7.9,9.9,8,10,3,6.4,6.0,5,10,5
20240145,P001,60,5.6,8.5,9,10,7,9.6,8.9,9,10,11,4.8,6.0,7,10,4,2.0,7.8,5,10,12
20240146,P001,60,2.2,6.8,7,10,17,2.1,7.7,6,10,19,3.4,6.4,6,10,16,4.4,4.3,3,10,11
20240147,P001,60,6.3,9.2,8,10,7,8.5,9.9,6,10,12,5.2,5.4,8,10,10,6.1,6.5,9,10,8
20240148,P001,60,8.4,8.0,8,10,5,10,7.8,9,10,3,4.3,10,10,10,0,3.7,5.0,9,10,4
20240149,P001,60,8.5,2.2,6,10,10,8.7,1.2,7,10,7,7.9,8.2,7,10,7,9.9,3.4,7,10,12
20240150,P001,60,3.4,0,5,10,19,8.9,6.5,7,10,13,7.8,5.1,2,10,9,6.8,0.7,6,10,18
20240151,P001,60,6.6,5.7,9,10,5,10,10,8,10,3,6.1,8.9,10,10,4,10,2.4,9,10,5
20240152,P001,60,3.8,9.2,8,10,3,7.4,7.2,9,10,1,6.3,7.9,10,10,5,7.7,9.2,10,10,5
20240153,P001,60,6.9,3.4,8,10,4,3.4,7.2,8,10,9,5.4,0.1,7,10,7,7.3,9.5,7,10,4
20240154,P001,60,7.2,5.5,7,10,8,8.5,8.8,9,10,11,8.4,9.4,5,10,10,9.8,8.7,9,10,4
20240155,P001,60,5.0,10,10,10,3,8.0,4.3,9,10,1,10,3.3,8,10,1,7.1,7.6,9,10,4
20240156,P001,60,2.4,8.9,4,10,18,8.4,7.8,4,10,13,6.0,4.4,6,10,10,3.3,7.5,7,10,14
20240157,P001,60,8.4,4.3,3,10,17,6.6,4.9,4,10,19,9.0,4.9,5,10,13,7.7,4.4,4,10,16
20240158,P001,60,7.3,2.4,7,10,12,6.5,9.0,5,10,4,7.5,5.2,8,10,4,6.5,7.0,9,10,12
20240159,P001,60,8.9,6.3,6,10,19,7.6,4.4,4,10,20,4.7,4.9,5,10,10,4.1,6.5,6,10,12
20240160,P001,60,5.9,9.5,6,10,9,3.3,7.3,9,10,11,3.4,6.5,7,10,11,9.1,9.1,9,10,8
20240161,P001,60,6.0,6.2,8,10,1,8.6,10.0,9,10,5,2.6,3.9,9,10,3,9.3,9.2,9,10,3
20240162,P001,60,4.5,4.2,8,10,12,6.8,5.1,7,10,10,8.7,8.1,9,10,7,8.3,4.9,9,10,11
20240163,P001,60,9.0,6.8,3,10,16,8.0,5.6,6,10,9,7.3,1.7,2,10,14,8.7,4.5,3,10,10
20240164,P001,60,4.7,6.1,10,10,0,4.6,6.7,8,10,0,7.8,8.9,9,10,0,4.8,6.7,9,10,0
20240165,P001,60,7.2,8.3,7,10,5,7.9,8.0,7,10,5,5.3,6.9,8,10,11,2.4,9.6,5,10,5
20240166,P001,60,10,7.7,10,10,1,8.2,4.7,8,10,5,9.2,10,10,10,2,10,10,9,10,2
20240167,P001,60,10,10,8,10,0,9.1,10,10,10,5,4.3,9.2,10,10,3,5.9,9.4,9,10,1
20240168,P001,60,9.2,9.7,9,10,5,7.9,10,10,10,5,7.6,10,9,10,4,4.5,9.0,8,10,4
20240169,P001,60,3.7,9.1,2,10,18,8.6,4.5,7,10,14,7.0,8.4,7,10,9,4.8,4.6,6,10,14
20240170,P001,60,0.6,4.1,6,10,3,9.4,3.5,7,10,5,6.3,4.0,9,10,3,8.9,7.5,6,10,10
20240171,P001,60,8.0,4.4,2,10,15,7.7,2.3,2,10,19,6.0,6.2,7,10,9,2.0,6.9,7,10,17
20240172,P001,60,5.9,6.2,7,10,4,8.4,1.6,6,10,12,3.0,8.2,9,10,6,4.0,6.0,8,10,12
20240173,P001,60,4.1,5.4,9,10,2,9.2,4.7,10,10,0,9.7,5.4,9,10,3,4.2,10,10,10,5
20240174,P001,60,6.6,8.0,2,10,10,6.1,0,5,10,11,6.7,7.7,5,10,11,4.5,4.5,5,10,12
20240175,P001,60,9.2,0.8,10,10,2,5.4,6.2,8,10,0,8.1,9.5,8,10,3,7.0,5.2,10,10,3
20240176,P001,60,5.7,8.3,9,10,4,9.9,2.8,9,10,1,7.3,6.4,8,10,3,9.3,9.1,10,10,5
20240177,P001,60,5.4,8.1,8,10,10,6.2,8.6,6,10,3,5.4,9.4,8,10,7,9.6,9.4,5,10,11
20240178,P001,60,4.9,7.3,9,10,3,6.7,8.3,9,10,1,8.7,5.8,8,10,2,3.8,1.4,10,10,2
20240179,P001,60,6.0,7.7,6,10,19,7.7,5.7,6,10,14,5.5,7.6,3,10,11,6.3,5.2,4,10,15
20240180,P001,60,4.7,7.5,2,10,16,5.7,3.6,4,10,13,4.7,7.7,2,10,17,5.6,3.9,6,10,20
20240181,P002,60,7.2,6.0,2,10,15,6.2,6.4,2,10,10,6.8,0,3,10,11,5.5,4.9,5,10,14
20240182,P002,60,5.6,6.5,8,10,1,7.7,8.1,10,10,1,8.8,8.3,8,10,4,7.9,10,10,10,2
20240183,P002,60,5.3,6.3,5,10,10,5.4,7.2,2,10,17,6.1,5.6,7,10,12,8.7,5.9,2,10,16
20240184,P002,60,2.2,6.9,2,10,16,4.2,7.3,5,10,11,0,6.3,2,10,15,3.3,7.1,3,10,10
20240185,P002,60,6.7,3.3,7,10,8,4.5,3.4,7,10,15,0.7,5.7,4,10,19,5.5,0.4,3,10,11
20240186,P002,60,8.2,6.1,10,10,0,4.1,6.3,10,10,1,6.8,10.0,8,10,1,6.2,7.2,10,10,5
20240187,P002,60,3.4,6.2,9,10,4,8.8,7.5,9,10,4,6.3,6.8,7,10,5,4.5,9.0,5,10,10
20240188,P002,60,8.2,6.3,9,10,6,9.0,6.2,7,10,4,5.9,5.2,7,10,5,5.4,6.3,9,10,6
20240189,P002,60,5.5,3.1,5,10,20,6.8,1.8,2,10,16,8.5,5.3,6,10,14,5.3,1.9,3,10,18
20240190,P002,60,2.6,5.6,7,10,14,4.2,3.0,5,10,17,7.7,8.6,3,10,14,5.1,6.4,2,10,15
20240191,P002,60,4.2,8.2,4,10,10,4.6,5.3,5,10,19,3.6,1.7,5,10,14,8.9,4.9,2,10,14
20240192,P002,60,3.4,3.2,7,10,20,5.8,6.8,7,10,14,4.8,8.9,7,10,18,3.5,8.0,3,10,18
20240193,P002,60,9.4,10,8,10,4,10,7.4,10,10,3,6.4,10,8,10,2,5.9,9.1,8,10,3
20240194,P002,60,8.7,6.3,10,10,1,5.1,5.9,8,10,1,10.0,5.9,8,10,4,10.0,6.6,8,10,4
20240195,P002,60,7.2,4.5,9,10,3,7.1,6.6,9,10,9,6.9,6.0,9,10,8,5.7,10.0,7,10,6
20240196,P002,60,5.1,5.7,5,10,4,6.4,8.8,5,10,5,8.7,6.4,7,10,6,6.4,9.5,5,10,6
20240197,P002,60,9.3,0,7,10,13,5.6,5.3,7,10,15,9.2,7.0,6,10,16,7.8,0.2,5,10,16
20240198,P002,60,5.9,8.8,10,10,5,5.3,8.7,8,10,2,9.5,10,10,10,5,7.7,6.8,10,10,0
20240199,P002,60,9.7,8.3,8,10,11,7.4,3.2,7,10,4,8.9,7.2,6,10,8,10.0,7.0,9,10,3
20240200,P002,60,9.0,5.7,9,10,5,8.2,3.0,7,10,10,4.9,8.0,6,10,10,7.3,8.6,9,10,3
20240201,P002,60,6.4,6.7,8,10,12,7.4,6.9,7,10,3,4.4,8.9,5,10,6,9.8,9.7,6,10,7
20240202,P002,60,4.4,8.1,7,10,16,5.5,4.1,6,10,20,7.9,8.2,7,10,15,6.1,5.4,7,10,13
20240203,P002,60,3.1,8.2,2,10,10,3.4,1.9,5,10,17,8.9,4.1,6,10,19,8.4,5.2,5,10,20
20240204,P002,60,7.0,7.1,7,10,15,6.9,0.9,2,10,19,6.5,5.2,4,10,9,3.5,6.9,6,10,16
20240205,P002,60,3.8,6.9,3,10,20,9.2,3.1,4,10,20,2.2,3.9,2,10,8,8.6,4.7,3,10,8
20240206,P002,60,9.5,8.3,6,10,10,8.4,7.0,9,10,8,5.4,4.6,5,10,6,3.6,8.9,9,10,12
20240207,P002,60,6.1,8.0,9,10,1,7.5,9.6,10,10,5,7.4,9.5,10,10,4,5.5,8.1,8,10,1
20240208,P002,60,7.0,7.1,8,10,2,10,2.0,8,10,0,5.5,7.6,10,10,5,10,10,8,10,3
20240209,P002,60,8.9,6.2,8,10,9,7.5,8.4,6,10,5,6.5,4.5,6,10,8,7.8,5.9,8,10,8
20240210,P002,60,5.9,9.9,7,10,6,7.2,6.5,5,10,4,3.5,4.2,7,10,4,8.0,10.0,9,10,9
20240211,P002,60,3.0,7.8,6,10,8,3.7,0.5,7,10,19,8.7,8.4,7,10,10,8.9,8.6,2,10,13
